caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Peroid of custody,Differences b/w chargesheet and trials,Mental codition of accused,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,Output
1,"IPC, CPC","302, 439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
2,CPC,439,MALE,1,1,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
3,"CPC, IPC","438, 302",MALE,0,1,1,1,0,0,0,SERIOUS,0,1,STABLE,1,1,0,Granted
4,"CPC, IPC","439, 302",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
5,CPC,438,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Refused
6,CPC,439,MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
7,CPC,439,MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,1,0,0,Refused
8,"IPC, CPC","302, 438",MALE,1,0,0,1,0,0,0,VERY SERIOUS,18,0,STABLE,1,1,0,Granted
9,"IPC, CPC","302, 439",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
11,CPC,438,MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
12,CPC,,MALE,0,1,1,1,0,0,1,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
13,"CPC,IPC","302,438",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
14,CPC,439,MALE,1,0,0,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,0,1,Granted
18,"IPC, CPC","302,439",MALE,0,1,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
19,CPC,438,MALE,0,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
20,"IPC, CPC","302,439",FEMALE,0,0,0,1,0,0,1,NOT SERIOUS,6,0,STABLE,1,1,0,Granted
22,"IPC, CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
23,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
25,"IPC, CPC","302,439",MALE,1,1,1,1,0,0,0,NOT SERIOUS,0,1,STABLE,1,0,0,Granted
26,"IPC, CPC","302,438",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
28,"IPC, CPC","201,302,439",MALE,0,1,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
29,"IPC, CPC","302,439",FEMALE,0,0,1,1,0,0,0,NOT SERIOUS,12,0,STABLE,1,0,0,Granted
30,CPC,437,MALE,1,0,1,1,0,0,1,SERIOUS,14,0,STABLE,1,0,0,Granted
32,"IPC, CPC","302,439",MALE,0,1,0,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
34,"IPC, CPC","302,439",MALE,0,0,0,0,0,0,0,SERIOUS,14,0,STABLE,1,1,0,Granted
36,"IPC, CPC","302,439",MALE,0,0,0,0,0,0,0,SERIOUS,2,0,STABLE,1,1,0,Granted
37,"IPC, CPC","307,439",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,1,STABLE,1,0,0,Granted
44,"IPC, CPC","302,439",MALE,1,1,0,1,0,0,1,SERIOUS,0,0,STABLE,1,0,1,Refused
45,"IPC, CPC","302,439",MALE,0,1,1,1,0,0,0,SERIOUS,13,0,STABLE,1,0,0,Granted
46,"IPC, CPC","302,439",MALE,1,0,1,0,0,0,0,VERY SERIOUS,12,0,STABLE,1,0,0,Granted
47,"IPC, CPC","302,439",MALE,0,0,0,1,0,0,0,SERIOUS,0,1,STABLE,1,1,0,Granted
48,"IPC, CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,12,0,STABLE,1,1,0,Granted
49,"IPC, CPC","302,439",MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,Granted
49.1,"IPC, CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,UNSTABLE,1,0,0,Refused
51,"IPC,CPC","302,439",MALE,1,0,1,1,1,0,1,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
52,"IPC,CPC","302,439",MALE,1,0,0,1,0,0,1,VERY SERIOUS,0,1,STABLE,1,1,0,Granted
53,"IPC,CPC","302,201,34,439",MALE,0,0,0,1,0,0,0,SERIOUS,18,0,STABLE,1,0,0,Granted
54,"IPC,CPC","302,389,439",MALE,1,0,1,1,0,0,1,VERY SERIOUS,4,0,STABLE,1,0,0,Granted
55,"IPC,CPC","302,439,482",MALE,0,0,1,1,1,0,0,SERIOUS,3,0,STABLE,1,0,0,Granted
56,"IPC,CPC","302,109,34,439",FEMALE,0,0,1,1,1,0,0,SERIOUS,1,0,STABLE,1,0,0,Granted
58,"IPC,CPC","302,392,397,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
61,CPC,439,MALE,0,0,0,1,0,0,0,VERY SERIOUS,0,1,STABLE,1,0,0,Refused
62,"IPC,CPC","302,438",MALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
63,cpc,439,MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
64,"IPC,CPC","302,304,439",FEMALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
66,"IPC,CPC","302,34,109,497",MALE,1,0,0,1,0,1,0,VERY SERIOUS,1,0,STABLE,1,0,0,Refused
67,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
68,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
69,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
70,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
71,IPC,302,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
72,"IPC,CPC","302,439",FEMALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
74,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
75,"ipc,cpc","307,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
77,"ipc,cpc","302,439",MALE,0,0,0,1,0,1,0,SERIOUS,15,1,STABLE,1,1,0,Refused
78,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,1,0,0,Granted
79,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
80,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
81,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,18,0,STABLE,1,0,0,Refused
82,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
86,"IPC,CPC","307,498",MALE,0,0,1,1,0,0,0,VERY SERIOUS,48,0,STABLE,1,0,0,Granted
88,CPC,439,MALE,0,0,0,1,0,1,0,SERIOUS,0,0,STABLE,1,0,0,Refused
89,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,3,0,STABLE,1,1,0,Granted
90,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
91,"IPC,CPC","307,438",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
92,"IPC,CPC","307,439",MALE,1,0,1,1,0,1,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
93,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
94,"IPC,CPC","319,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
95,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
97,CPC,438,MALE,0,1,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
98,"IPC,CPC","307,438",FEMALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,1,1,Granted
99,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
100,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
101,CPC,439,MALE,0,0,1,0,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
102,"IPC, CPC","307,34,438",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
103,"IPC, CPC","307, 439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
104,CPC,439,FEMALE,0,0,0,1,0,0,1,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
105,"IPC, CPC","307, 506, 438",FEMALE,0,0,0,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
106,"IPC, CPC","307, 439",MALE,0,0,0,0,0,0,0,SERIOUS,15,0,STABLE,1,0,0,Granted
107,"IPC, CPC","307, 439",MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
108,"IPC, CPC","307, 438",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
