caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Period of custody,Differences b/w chargesheet and trials,Mental codition of accused,Loophole of investigation,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,logical output,Output
1,"IPC, CPC","302, 439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
2,CPC,439,MALE,1,1,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
3,"CPC, IPC","438, 302",MALE,0,1,1,1,0,0,0,SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
4,"CPC, IPC","439, 302",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
5,CPC,438,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Refused
6,CPC,439,MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
7,CPC,439,MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
8,"IPC, CPC","302, 438",MALE,1,0,0,1,0,0,0,VERY SERIOUS,18,0,STABLE,1,1,1,0,1,Granted
9,"IPC, CPC","302, 439",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
12,CPC,,MALE,0,1,1,1,0,0,1,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
13,"CPC,IPC","302,438",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,1,0,1,Granted
14,CPC,439,MALE,1,0,0,1,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,1,1,Granted
18,"IPC, CPC","302,439",MALE,0,1,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,0,Granted
19,CPC,438,MALE,0,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
20,"IPC, CPC","302,439",FEMALE,0,0,0,1,0,0,1,NOT SERIOUS,6,0,STABLE,1,1,1,0,1,Granted
22,"IPC, CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
23,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
25,"IPC, CPC","302,439",MALE,1,1,1,1,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
26,"IPC, CPC","302,438",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,1,0,0,Granted
28,"IPC, CPC","201,302,439",MALE,0,1,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
29,"IPC, CPC","302,439",FEMALE,0,0,1,1,0,0,0,NOT SERIOUS,12,0,STABLE,0,1,0,0,1,Granted
30,CPC,437,MALE,1,0,1,1,0,0,1,SERIOUS,14,0,STABLE,0,1,0,0,0,Granted
32,"IPC, CPC","302,439",MALE,0,1,0,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
34,"IPC, CPC","302,439",MALE,0,0,0,0,0,0,0,SERIOUS,14,0,STABLE,0,1,1,0,1,Granted
36,"IPC, CPC","302,439",MALE,0,0,0,0,0,0,0,SERIOUS,2,0,STABLE,1,1,1,0,1,Granted
37,"IPC, CPC","307,439",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
44,"IPC, CPC","302,439",MALE,1,1,0,1,0,0,1,SERIOUS,0,0,STABLE,0,1,0,1,0,Refused
45,"IPC, CPC","302,439",MALE,0,1,1,1,0,0,0,SERIOUS,13,0,STABLE,0,1,0,0,1,Granted
46,"IPC, CPC","302,439",MALE,1,0,1,0,0,0,0,VERY SERIOUS,12,0,STABLE,0,1,0,0,1,Granted
47,"IPC, CPC","302,439",MALE,0,0,0,1,0,0,0,SERIOUS,0,1,STABLE,1,1,1,0,1,Granted
48,"IPC, CPC","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,12,0,STABLE,0,1,1,0,1,Granted
49,"IPC, CPC","302,439",MALE,0,1,1,1,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
49.1,"IPC, CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
51,"IPC,CPC","302,439",MALE,1,0,1,1,1,0,1,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Granted
52,"IPC,CPC","302,439",MALE,1,0,0,1,0,0,1,VERY SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
53,"IPC,CPC","302,201,34,439",MALE,0,0,0,1,0,0,0,SERIOUS,18,0,STABLE,1,1,0,0,1,Granted
54,"IPC,CPC","302,389,439",MALE,1,0,1,1,0,0,1,VERY SERIOUS,4,0,STABLE,0,1,0,0,1,Granted
55,"IPC,CPC","302,439,482",MALE,0,0,1,1,1,0,0,SERIOUS,4,0,STABLE,1,1,0,0,1,Granted
