caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Period of custody,Differences b/w chargesheet and trials,Mental codition of accused,Loophole of investigation,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,logical output,Output
1,"IPC, CPC","302, 439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
2,CPC,439,MALE,1,1,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
3,"CPC, IPC","438, 302",MALE,0,1,1,1,0,0,0,SERIOUS,0,1,STABLE,0,1,1,0,1,Granted
4,"CPC, IPC","439, 302",MALE,0,0,0,0,0,0,0,NOT SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
5,CPC,438,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Refused
7,CPC,439,MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
8,"IPC, CPC","302, 438",MALE,1,0,0,1,0,0,0,VERY SERIOUS,18,0,STABLE,1,1,1,0,1,Granted
19,CPC,438,MALE,0,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
23,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
25,"IPC, CPC","302,439",MALE,1,1,1,1,0,0,0,NOT SERIOUS,0,1,STABLE,0,1,0,0,1,Granted
26,"IPC, CPC","302,438",MALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,1,0,0,Granted
49.1,"IPC, CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,UNSTABLE,0,1,0,0,0,Refused
61,CPC,439,MALE,0,0,0,1,0,0,0,VERY SERIOUS,0,1,STABLE,0,1,0,0,0,Refused
63,cpc,439,MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
64,"IPC,CPC","302,304,439",FEMALE,1,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,0,Granted
66,"IPC,CPC","302,34,109,497",MALE,1,0,0,1,0,1,0,VERY SERIOUS,1,0,STABLE,0,1,0,0,0,Refused
67,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
68,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
71,IPC,302,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
72,"IPC,CPC","302,439",FEMALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
74,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
75,"ipc,cpc","307,438",MALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
77,"ipc,cpc","302,439",MALE,0,0,0,1,0,1,0,SERIOUS,15,1,STABLE,0,1,0,0,0,Refused
78,"ipc,cpc","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,1,STABLE,0,1,0,0,0,Refused
79,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
80,"ipc,cpc","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
81,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,18,0,STABLE,0,1,0,0,0,Refused
82,"IPC,CPC","302,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
86,"IPC,CPC","307,498",MALE,0,0,1,1,0,0,0,VERY SERIOUS,4,0,STABLE,1,1,0,0,1,Granted
88,CPC,439,MALE,0,0,0,1,0,1,0,SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
93,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,1,0,0,Refused
94,"IPC,CPC","319,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,1,0,0,1,Granted
121,"IPC,CPC","302,497",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
122,"iPC,CPC","307,302,439",MALE,0,0,1,1,0,0,1,SERIOUS,0,0,STABLE,0,1,1,0,1,Granted
153,"IPC,CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,41,0,STABLE,0,1,0,0,0,Refused
154,"IPC,CPC","307,439",MALE,0,0,1,0,1,0,0,SERIOUS,0,0,STABLE,0,1,0,0,1,Granted
155,"IPC,CPC","304,498,439",MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
169,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,12,0,STABLE,0,1,0,0,1,Granted
170,"IPC,CPC","302, 439",MALE,0,1,0,1,1,1,0,VERY SERIOUS,0,0,STABLE,0,1,0,0,0,Refused
