caseID,Code,Section,Gender,Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Nature of Alligations,Peroid of custody,Differences b/w chargesheet and trials,Mental codition of accused,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,Output
5,CPC,438,MALE,1,0,0,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Refused
7,CPC,439,MALE,1,0,0,1,0,1,0,VERY SERIOUS,0,0,UNSTABLE,1,0,0,Refused
103,"IPC, CPC","307, 439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
97,CPC,438,MALE,0,1,1,0,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
23,CPC,439,MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
95,"IPC,CPC","307,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,1,0,Granted
49.1,"IPC, CPC","302,439",MALE,1,0,0,1,1,0,0,VERY SERIOUS,0,0,UNSTABLE,1,0,0,Refused
94,"IPC,CPC","319,438",FEMALE,0,0,1,0,0,0,0,NOT SERIOUS,0,0,STABLE,1,0,0,Granted
19,CPC,438,MALE,0,0,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
98,"IPC,CPC","307,438",FEMALE,0,0,1,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,1,1,Granted
44,"IPC, CPC","302,439",MALE,1,1,0,1,0,0,1,SERIOUS,0,0,STABLE,1,0,1,Refused
61,CPC,439,MALE,0,0,0,1,0,0,0,VERY SERIOUS,0,1,STABLE,1,0,0,Refused
66,"IPC,CPC","302,34,109,497",MALE,1,0,0,1,0,1,0,VERY SERIOUS,1,0,STABLE,1,0,0,Refused
67,CPC,439,MALE,1,0,0,1,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
99,"IPC,CPC","307,439",MALE,0,0,1,0,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
100,"IPC,CPC","302,439",MALE,0,0,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
101,CPC,439,MALE,0,0,1,0,0,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
102,"IPC, CPC","307,34,438",MALE,0,1,1,1,0,0,0,SERIOUS,0,0,STABLE,1,0,0,Granted
104,CPC,439,FEMALE,0,0,0,1,0,0,1,VERY SERIOUS,0,0,STABLE,1,0,0,Granted
2,CPC,439,MALE,1,1,0,1,1,0,0,VERY SERIOUS,0,0,STABLE,1,0,0,Refused
