Injuiry,co-accused,Surety of Bond,Intention,Eyewitness,History,Law of Parity,Peroid of custody,Differences b/w chargesheet and trials,Accused presented within 24 hrs,Proof with accused,Delay in launching FIR/producing chargesheet,Gender,Nature of Alligations,Mental codition of accused,Output
0,0,1,1,0,0,0,0,0,1,1,0,MALE,SERIOUS,STABLE,Granted
1,1,0,1,1,0,0,0,0,1,0,0,MALE,VERY SERIOUS,STABLE,Refused
0,1,1,1,0,0,0,0,1,1,1,0,MALE,SERIOUS,STABLE,Granted
0,0,0,0,0,0,0,0,0,1,1,0,MALE,NOT SERIOUS,STABLE,Granted
1,0,0,1,0,0,0,0,0,1,0,0,MALE,SERIOUS,STABLE,Refused
0,0,1,0,0,0,0,0,0,1,0,0,MALE,NOT SERIOUS,STABLE,Granted
1,0,0,1,0,1,0,0,0,1,0,0,MALE,VERY SERIOUS,UNSTABLE,Refused
1,0,0,1,0,0,0,18,0,1,1,0,MALE,VERY SERIOUS,STABLE,Granted
0,1,1,1,0,0,0,0,0,1,1,0,MALE,SERIOUS,STABLE,Granted
0,0,1,1,0,0,0,0,0,1,1,0,MALE,SERIOUS,STABLE,Granted
0,0,0,1,1,0,1,0,0,1,1,0,MALE,NOT SERIOUS,STABLE,Granted
0,0,0,0,0,0,0,0,0,1,1,0,MALE,NOT SERIOUS,STABLE,Granted
0,0,1,0,1,0,1,0,0,0,0,1,MALE,NOT SERIOUS,STABLE,Granted
0,0,0,0,0,0,0,0,0,1,1,0,MALE,NOT SERIOUS,STABLE,Granted
0,0,0,1,1,0,0,0,0,1,0,0,MALE,VERY SERIOUS,STABLE,Refused
0,0,0,1,0,0,1,6,0,1,1,0,FEMALE,NOT SERIOUS,STABLE,Granted
0,0,1,0,0,0,0,0,0,1,1,0,MALE,NOT SERIOUS,STABLE,Granted
1,0,0,1,1,0,0,0,0,1,0,0,MALE,VERY SERIOUS,STABLE,Refused
1,0,1,1,0,0,0,0,1,1,0,0,MALE,NOT SERIOUS,STABLE,Granted
1,0,1,1,0,0,0,0,0,1,1,0,MALE,SERIOUS,STABLE,Granted
